,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
74,Devin Booker,PG,27,PHO,43,43,36.1,9.8,19.6,.502,2.3,6.0,.381,7.6,13.6,.556,.561,6.1,7.0,.870,0.7,4.0,4.7,7.1,0.9,0.4,2.6,3.0,28.0
75,Brandon Boston Jr.,SF,22,LAC,15,0,7.3,1.5,3.6,.407,0.4,1.2,.333,1.1,2.4,.444,.463,0.7,0.8,.917,0.5,0.5,0.9,0.3,0.1,0.1,0.3,0.9,4.1
76,Chris Boucher,PF,31,TOR,45,0,14.0,2.1,4.4,.485,0.6,2.0,.330,1.5,2.4,.609,.558,1.3,1.8,.759,1.2,2.9,4.1,0.4,0.3,0.4,0.5,1.4,6.2
77,James Bouknight,SG,23,CHO,14,0,5.8,1.3,2.9,.439,0.9,2.1,.433,0.4,0.8,.455,.598,0.1,0.1,.500,0.1,0.6,0.6,0.4,0.1,0.1,0.1,0.2,3.6
78,Jamaree Bouyea,PG,24,POR,6,0,9.5,0.8,3.5,.238,0.0,1.3,.000,0.8,2.2,.385,.238,0.0,0.0,,0.3,1.3,1.7,1.3,0.0,0.0,1.3,0.5,1.7
79,Malaki Branham,PG,20,SAS,49,21,20.2,3.2,7.6,.419,0.9,3.1,.293,2.3,4.5,.505,.478,0.6,0.6,.931,0.3,1.6,1.9,2.2,0.4,0.1,1.1,1.2,7.8
80,Christian Braun,SG,22,DEN,54,0,18.9,2.5,5.7,.443,0.6,1.8,.357,1.9,3.9,.483,.500,1.3,1.7,.742,0.8,2.7,3.5,1.4,0.4,0.4,0.7,1.5,7.0
81,Mikal Bridges,SF,27,BRK,52,52,35.3,7.7,16.9,.453,2.6,6.9,.372,5.1,10.0,.509,.528,3.9,4.8,.826,0.8,4.1,4.9,3.7,0.9,0.4,2.3,1.6,21.8
82,Miles Bridges,SF,25,CHO,42,40,37.1,8.3,17.8,.465,2.4,6.6,.368,5.8,11.2,.522,.534,2.7,3.1,.856,0.9,6.3,7.2,3.4,1.1,0.5,2.0,1.8,21.6
83,Oshae Brissett,SF,25,BOS,34,0,10.9,1.3,2.8,.457,0.3,1.1,.289,0.9,1.6,.571,.516,0.9,1.3,.698,1.0,1.8,2.9,0.7,0.4,0.1,0.3,1.1,3.7
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Malcolm Brogdon,PG,31,POR,39,25,28.7,5.6,12.7,.440,2.1,5.1,.412,3.5,7.6,.458,.522,2.4,3.0,.819,0.7,3.1,3.8,5.5,0.7,0.2,1.5,1.5,15.7
86,Armoni Brooks,PG,25,BRK,10,0,10.4,1.5,4.6,.326,1.1,3.2,.344,0.4,1.4,.286,.446,0.1,0.2,.500,0.7,1.1,1.8,0.5,0.1,0.1,0.3,0.3,4.2
87,Dillon Brooks,SF,28,HOU,44,44,31.3,5.1,11.2,.453,2.0,5.0,.408,3.0,6.2,.489,.544,2.0,2.3,.843,0.7,2.7,3.4,1.6,0.9,0.1,1.4,3.6,14.1
88,Bruce Brown,SG-PG,27,TOT,46,38,28.7,4.3,9.2,.470,0.9,2.8,.323,3.4,6.4,.534,.519,1.8,2.1,.847,0.9,3.8,4.6,2.8,1.0,0.3,1.2,2.3,11.3
89,Bruce Brown,SG,27,IND,33,33,29.7,4.5,9.5,.475,1.0,3.1,.327,3.5,6.5,.545,.527,2.0,2.5,.817,0.8,3.9,4.7,3.0,1.1,0.2,1.2,2.5,12.1
90,Bruce Brown,PG,27,TOR,13,5,26.0,3.8,8.2,.458,0.6,2.0,.308,3.2,6.2,.506,.495,1.2,1.2,1.000,1.2,3.4,4.5,2.1,0.9,0.5,1.1,2.1,9.4
91,Charlie Brown Jr.,SG,26,NYK,5,0,5.8,0.4,1.8,.222,0.4,1.2,.333,0.0,0.6,.000,.333,0.0,0.0,,0.2,0.2,0.4,0.0,0.0,0.4,0.4,1.0,1.2
92,Greg Brown III,PF,22,DAL,6,0,6.7,0.8,1.8,.455,0.2,0.5,.333,0.7,1.3,.500,.500,0.7,1.5,.444,0.5,1.0,1.5,0.7,0.0,0.7,0.7,0.8,2.5
93,Jaylen Brown,SF,27,BOS,49,49,33.3,8.6,17.3,.495,2.0,5.7,.345,6.6,11.6,.569,.552,3.0,4.1,.719,1.1,4.4,5.6,3.7,1.1,0.6,2.4,2.6,22.0
94,Kendall Brown,SG,20,IND,5,0,4.0,0.6,1.2,.500,0.0,0.2,.000,0.6,1.0,.600,.500,0.8,1.2,.667,0.4,0.0,0.4,0.4,0.0,0.0,0.0,0.8,2.0
95,Kobe Brown,PF,24,LAC,32,0,8.7,0.7,1.9,.371,0.4,1.2,.308,0.3,0.7,.478,.468,0.0,0.1,.500,0.3,1.1,1.4,0.5,0.2,0.1,0.2,1.3,1.8
96,Moses Brown,C,24,POR,9,4,9.1,1.0,2.3,.429,0.0,0.0,,1.0,2.3,.429,.429,0.0,0.4,.000,2.0,3.1,5.1,0.2,0.2,0.3,0.4,1.2,2.0
97,Troy Brown Jr.,SF,24,TOT,38,3,11.3,1.4,3.2,.439,0.9,2.3,.371,0.6,0.9,.618,.573,0.6,0.6,.875,0.4,1.6,1.9,1.0,0.2,0.1,0.5,0.7,4.3
98,Troy Brown Jr.,SF,24,MIN,37,3,11.1,1.4,3.2,.441,0.8,2.3,.369,0.6,0.9,.618,.572,0.5,0.6,.864,0.4,1.6,1.9,0.9,0.2,0.1,0.5,0.7,4.2
99,Troy Brown Jr.,SF,24,DET,1,0,19.0,2.0,5.0,.400,2.0,5.0,.400,0.0,0.0,,.600,2.0,2.0,1.000,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,8.0
100,Jalen Brunson,PG,27,NYK,51,51,35.9,9.8,20.4,.482,2.6,6.5,.406,7.2,13.9,.517,.546,5.2,6.3,.834,0.6,3.3,3.9,6.5,0.9,0.2,2.4,2.1,27.5
101,Thomas Bryant,C,26,MIA,25,3,10.4,1.8,3.1,.571,0.0,0.2,.000,1.8,2.9,.603,.571,0.7,0.9,.818,1.0,2.1,3.1,0.6,0.2,0.2,0.6,1.0,4.2
102,Kobe Bufkin,SG,20,ATL,4,0,5.5,0.5,2.0,.250,0.5,1.5,.333,0.0,0.5,.000,.375,0.3,0.5,.500,0.5,1.0,1.5,0.3,0.0,0.0,0.0,0.3,1.8
103,Reggie Bullock,SF,32,HOU,22,0,9.4,0.9,2.1,.426,0.7,1.6,.417,0.2,0.5,.455,.585,0.0,0.0,1.000,0.1,1.4,1.5,0.5,0.2,0.1,0.2,0.5,2.5
104,Alec Burks,SG,32,TOT,45,0,20.9,3.7,9.5,.393,2.3,5.8,.402,1.4,3.8,.379,.514,2.8,3.1,.907,0.4,2.1,2.5,1.6,0.5,0.2,0.8,1.5,12.6
